created_at,entry_id,field3
2015-08-24 13:03:27 UTC,14048,
2015-08-24 13:33:27 UTC,14049,
2015-08-24 14:03:28 UTC,14050,
2015-08-24 14:33:33 UTC,14051,
2015-08-24 15:03:29 UTC,14052,
2015-08-24 15:33:27 UTC,14053,
2015-08-24 16:03:29 UTC,14054,
2015-08-24 16:33:28 UTC,14055,
2015-08-24 17:03:27 UTC,14056,
2015-08-24 18:03:31 UTC,14057,
2015-08-24 18:33:29 UTC,14058,
2015-08-24 19:03:30 UTC,14059,
2015-08-24 19:33:28 UTC,14060,
2015-08-24 20:03:28 UTC,14061,
2015-08-24 20:33:29 UTC,14062,
2015-08-24 21:33:27 UTC,14063,
2015-08-24 22:03:28 UTC,14064,
2015-08-24 22:33:26 UTC,14065,
2015-08-24 23:03:27 UTC,14066,
2015-08-24 23:33:27 UTC,14067,
2015-08-25 00:03:29 UTC,14068,
2015-08-25 00:33:27 UTC,14069,
2015-08-25 01:03:26 UTC,14070,
2015-08-25 01:33:27 UTC,14071,
2015-08-25 02:03:28 UTC,14072,
2015-08-25 02:33:28 UTC,14073,
2015-08-25 03:03:26 UTC,14074,
2015-08-25 03:33:28 UTC,14075,
2015-08-25 04:03:28 UTC,14076,
2015-08-25 05:03:27 UTC,14077,
2015-08-25 05:33:28 UTC,14078,
2015-08-25 06:33:27 UTC,14079,
2015-08-25 07:03:27 UTC,14080,
2015-08-25 07:33:28 UTC,14081,
2015-08-25 08:03:31 UTC,14082,
2015-08-25 08:33:27 UTC,14083,
2015-08-25 09:03:32 UTC,14084,
2015-08-25 09:33:30 UTC,14085,
2015-08-25 10:03:27 UTC,14086,
2015-08-25 10:33:38 UTC,14087,
2015-08-25 11:03:27 UTC,14088,
2015-08-25 11:33:29 UTC,14089,
2015-08-25 12:03:28 UTC,14090,
2015-08-25 12:33:27 UTC,14091,


